Text,Definition,Root,Error_Count,Mason_Importancy,
exacerbate,惡化,acer,0,5,
acerbic,刻薄的,acer,0,3,
acrimonious,嚴厲的、尖刻的,acri,0,4,
acrimony,尖刻、刻薄,acri,0,4,
acrid,辛辣的、苛薄的,acri,0,S,
acuity,敏銳,acu,0,1,
acumen,精明,acu,0,3,
acute,靈敏的,acu,0,1,
,,,,,
enact,制定(法律)、扮演(角色),act,0,B,
reactionary,保守的、反動的,act,0,4,
exactitude,正確性,act,0,2,
exacting,嚴格的,act,0,4,
,,,,,
aerate,充氣、使空氣進入,aer,0,S,
aerial,空中的,aer,0,S,
aeronautics,航空學,aer,0,S,
anaerobic,厭氧的,aer,0,S,
,,,,,
agile,靈敏的,ag,0,4,
agitated,激動的、不安的,ag,0,3,
coagulate,使凝結,ag,0,1,
exigent,緊急的、要求多的,ig,0,5,
prodigal,非常浪費的、揮霍的,ig,0,5,
reagent,試劑,ag,0,S,
,,,,,
agog,渴望的、極興奮的,agog,0,S,
demagogue,煽動家,agog,0,S,
pedagogy,教育學、教學法,agog,0,S,
pedagogic,教育學的,agog,0,S,
pedagogue,老師,agog,0,S,
,,,,,
agony,極大痛苦,agon,0,3,
antagonist,敵對的,agon,0,4,
protagonist,主角、主演、主唱者,agon,0,4,
,,,,,
agrarian,土地的,agr,0,1,
peregrinate,遊歷、旅行,agr,0,3,
,,,,,
colesce,聯合、合併,al,0,2,
coalition,同盟、聯合,al,0,1,
,,,,,
ail,生病,ail,0,S,
,,,,,
analgestic,鎮痛劑,aig,0,2,
nostalgia,思鄉病,aig,0,4,
,,,,,
ailenation,疏離、疏遠,alien,0,3,
inalienable,不可剝奪的,alien,0,1,
,,,,,
exalt,讚揚,alt,0,4,
,,,,,
altruism,利他主義,altr,0,5,
,,,,,
amiable,和藹的,am,0,3,
amicable,友好的,am,0,S,
amity,和睦、友好關係,am,0,1,
enmity,敵意、不和,am,0,1,
enamored,迷戀的,am,0,3,
inimical,有敵意的、不和的,am,0,5,
,,,,,
amble,從容漫步,amble,0,S,
ambulatory,(適合)步行的,ambul,0,S,
perambulae,勘查,ambul,0,S,
preamble,前言,amble,0,S,
ramble,閒逛、漫步,amble,0,1,
scramble,爬行、攀爬,amble,0,S,
shamble,蹣跚而行,amble,0,S,
,,,,,
amplify,放大,ampl,0,1,
,,,,,
